flightNumber,airline,origin,destination,dayOfWeek,scheduledDepartureTime,scheduledArrivalTime,validFrom,validTo
425,GoAir,Delhi,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",5:45,,28/10/18,30/03/19
423,GoAir,Delhi,Hyderabad,Saturday,7:30,,28/10/18,28/10/18
423,GoAir,Delhi,Hyderabad,Friday,7:30,,03/11/18,01/12/18
423,GoAir,Delhi,Hyderabad,Friday,7:30,,02/02/19,30/03/19
423,GoAir,Delhi,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",7:30,,29/10/18,30/11/18
423,GoAir,Delhi,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",7:30,,01/02/19,29/03/19
423,GoAir,Delhi,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",7:30,,02/12/18,31/01/19
422,GoAir,Delhi,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:55,,28/10/18,30/03/19
559,GoAir,Lucknow,Hyderabad,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:45,17:45,28/10/18,30/03/19
580,GoAir,Kochi,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",4:45,6:15,28/10/18,30/03/19
587,GoAir,Kochi,Hyderabad,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:20,19:20,28/10/18,30/03/19
587,GoAir,Kochi,Hyderabad,Monday,17:50,19:20,28/10/18,30/03/19
553,GoAir,Ahmedabad,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",11:05,12:45,29/10/18,30/03/19
552,GoAir,Ahmedabad,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:35,22:20,28/10/18,30/03/19
553,GoAir,Ahmedabad,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",11:00,12:45,01/04/19,26/10/19
552,GoAir,Ahmedabad,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:40,22:20,31/03/19,26/10/19
701,GoAir,Jaipur,Hyderabad,Saturday,8:55,10:55,28/10/18,24/03/19
431,GoAir,Jaipur,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:45,15:05,28/10/18,30/03/19
385,GoAir,Jaipur,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:55,,28/10/18,30/03/19
894,GoAir,Bengaluru,Hyderabad,Saturday,11:30,12:40,28/10/18,24/03/19
294,GoAir,Bengaluru,Hyderabad,Saturday,18:55,,28/10/18,24/03/19
294,GoAir,Bengaluru,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",18:55,,29/10/18,30/03/19
894,GoAir,Bengaluru,Hyderabad,Saturday,11:40,,31/03/19,20/10/19
952,GoAir,Guwahati,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",7:25,9:45,28/10/18,30/03/19
373,GoAir,Goa,Hyderabad,Saturday,4:45,,28/10/18,24/03/19
662,GoAir,Goa,Hyderabad,Saturday,10:45,12:10,28/10/18,24/03/19
370,GoAir,Goa,Hyderabad,Monday,19:45,,30/10/18,26/03/19
370,GoAir,Goa,Hyderabad,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:45,,28/10/18,30/03/19
572,GoAir,Goa,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",21:55,,28/10/18,30/03/19
121,GoAir,Kolkata,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",6:35,,29/10/18,30/03/19
121,GoAir,Kolkata,Hyderabad,Saturday,6:35,,28/10/18,28/10/18
125,GoAir,Kolkata,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:10,19:20,28/10/18,30/03/19
421,GoAir,Hyderabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",5:35,,28/10/18,29/03/19
421,GoAir,Hyderabad,Delhi,Saturday,5:45,,28/10/18,28/10/18
424,GoAir,Hyderabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:20,12:45,28/10/18,30/03/19
996,GoAir,Hyderabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:55,1:25,28/10/18,30/03/19
616,GoAir,Nagpur,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",8:25,10:05,01/12/18,31/01/19
618,GoAir,Nagpur,Delhi,"Monday,Tuesday,Thursday,Friday,Saturday",20:05,,01/12/18,31/01/19
158,GoAir,Bagdogra,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:40,16:10,28/10/18,30/03/19
151,GoAir,Bagdogra,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:05,19:25,28/10/18,30/03/19
851,GoAir,Bagdogra,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:25,17:40,31/03/19,26/10/19
758,GoAir,Bagdogra,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:20,18:35,31/03/19,26/10/19
208,GoAir,Lucknow,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",6:40,8:00,28/10/18,30/11/18
208,GoAir,Lucknow,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",6:40,8:00,01/02/19,29/03/19
212,GoAir,Lucknow,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:45,,28/10/18,30/03/19
188,GoAir,Lucknow,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",18:30,20:00,28/10/18,30/03/19
346,GoAir,Mumbai,Delhi,"Sunday,Tuesday,Friday",1:00,,29/10/18,30/03/19
329,GoAir,Mumbai,Delhi,Saturday,6:05,,28/10/18,28/10/18
329,GoAir,Mumbai,Delhi,"Sunday,Monday,Thursday,Friday,Saturday",6:05,,28/10/18,29/03/19
327,GoAir,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",7:55,10:10,28/10/18,30/03/19
319,GoAir,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",9:55,,28/10/18,30/03/19
465,GoAir,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:10,,28/10/18,28/02/19
465,GoAir,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:10,,01/03/19,30/03/19
439,GoAir,Mumbai,Delhi,"Monday,Thursday,Saturday",18:30,,28/10/18,29/03/19
439,GoAir,Mumbai,Delhi,"Sunday,Tuesday,Wednesday,Friday",18:30,,29/10/18,30/03/19
341,GoAir,Mumbai,Delhi,"Sunday,Friday",20:15,,29/10/18,30/03/19
643,GoAir,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",21:15,23:30,28/10/18,30/03/19
345,GoAir,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:45,,28/10/18,30/03/19
712,GoAir,Leh,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",9:25,11:05,28/10/18,31/01/19
205,GoAir,Leh,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:25,,28/10/18,31/01/19
221,GoAir,Leh,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:25,12:55,01/02/19,30/03/19
134,GoAir,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",8:15,10:05,28/10/18,30/11/18
134,GoAir,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",8:15,10:05,01/02/19,30/03/19
944,GoAir,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:55,14:45,28/10/18,30/03/19
132,GoAir,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:05,17:55,28/10/18,30/03/19
150,GoAir,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:10,18:55,28/10/18,30/03/19
218,GoAir,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:05,21:55,28/10/18,30/11/18
218,GoAir,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:05,,01/02/19,30/03/19
144,GoAir,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:25,0:20,28/10/18,30/11/18
144,GoAir,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:25,0:20,01/02/19,30/03/19
720,GoAir,Ahmedabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",8:10,9:50,28/10/18,30/03/19
718,GoAir,Ahmedabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:35,19:15,28/10/18,30/03/19
714,GoAir,Ahmedabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:20,0:10,28/10/18,30/03/19
720,GoAir,Ahmedabad,Delhi,"Monday,Wednesday,Thursday,Saturday",9:30,11:20,31/03/19,25/10/19
720,GoAir,Ahmedabad,Delhi,"Sunday,Tuesday,Friday",9:30,11:20,01/04/19,26/10/19
718,GoAir,Ahmedabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",18:55,20:40,31/03/19,26/10/19
714,GoAir,Ahmedabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:20,,31/03/19,26/10/19
116,GoAir,Bengaluru,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",7:45,10:40,28/10/18,30/03/19
124,GoAir,Bengaluru,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",11:40,14:35,29/10/18,30/03/19
118,GoAir,Bengaluru,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:55,23:50,28/10/18,30/03/19
116,GoAir,Bengaluru,Delhi,Friday,7:45,,06/04/19,26/10/19
116,GoAir,Bengaluru,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",7:45,,01/04/19,25/10/19
120,GoAir,Bengaluru,Delhi,Monday,11:35,,02/04/19,22/10/19
120,GoAir,Bengaluru,Delhi,"Sunday,Tuesday,Wednesday,Thursday,Friday",11:40,,01/04/19,26/10/19
246,GoAir,Ranchi,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:10,13:10,28/10/18,30/03/19
138,GoAir,Ranchi,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:15,,28/10/18,30/03/19
148,GoAir,Ranchi,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:50,,28/10/18,30/03/19
144,GoAir,Ranchi,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:15,,01/12/18,31/01/19
176,GoAir,Pune,Delhi,Saturday,1:20,,28/10/18,28/10/18
176,GoAir,Pune,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",1:20,,29/10/18,01/02/19
176,GoAir,Pune,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",1:20,,02/02/19,30/03/19
174,GoAir,Pune,Delhi,Friday,10:45,13:10,03/11/18,30/03/19
174,GoAir,Pune,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",11:15,13:30,28/10/18,29/03/19
278,GoAir,Pune,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:55,23:15,28/10/18,30/03/19
155,GoAir,Guwahati,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:20,20:15,28/10/18,30/03/19
205,GoAir,Jammu,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:10,12:55,01/02/19,30/03/19
186,GoAir,Jammu,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:00,17:25,28/10/18,30/03/19
285,GoAir,Goa,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:45,20:15,28/10/18,30/03/19
128,GoAir,Kolkata,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",6:00,,28/10/18,30/03/19
102,GoAir,Kolkata,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",14:20,16:55,28/10/18,30/03/19
106,GoAir,Kolkata,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",23:45,,28/10/18,30/03/19
129,GoAir,Srinagar,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",9:25,11:10,01/02/19,30/03/19
129,GoAir,Srinagar,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:15,12:50,28/10/18,31/01/19
224,GoAir,Srinagar,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:40,16:45,28/10/18,30/03/19
697,GoAir,Srinagar,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:15,17:45,28/10/18,30/03/19
1315,GoAir,Ahmedabad,Varanasi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",15:20,,01/05/19,26/10/19
710,GoAir,Ahmedabad,Varanasi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:30,,01/05/19,26/10/19
244,GoAir,Mumbai,Bhubaneswar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:00,,28/10/18,30/11/18
244,GoAir,Mumbai,Bhubaneswar,"Tuesday,Wednesday",17:00,,05/12/18,31/01/19
244,GoAir,Mumbai,Bhubaneswar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:00,,01/02/19,30/03/19
736,GoAir,Patna,Bhubaneswar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",18:55,20:10,28/10/18,30/03/19
309,GoAir,Chennai,Bhubaneswar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",4:50,,29/10/18,31/03/19
411,GoAir,Kolkata,Bhubaneswar,Saturday,4:25,,28/10/18,28/10/18
411,GoAir,Kolkata,Bhubaneswar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",4:25,,29/10/18,01/12/18
411,GoAir,Kolkata,Bhubaneswar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",4:25,,02/02/19,30/03/19
760,GoAir,Kolkata,Bhubaneswar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",9:40,10:55,28/10/18,30/03/19
405,GoAir,Kolkata,Bhubaneswar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",21:50,23:05,28/10/18,30/03/19
615,GoAir,Delhi,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",6:05,7:55,01/12/18,31/01/19
617,GoAir,Delhi,Nagpur,"Monday,Wednesday,Thursday,Saturday",17:55,,02/12/18,31/01/19
617,GoAir,Delhi,Nagpur,"Sunday,Tuesday,Friday",17:55,,01/12/18,30/01/19
142,GoAir,Mumbai,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:00,20:40,28/10/18,30/03/19
516,GoAir,Patna,Nagpur,Saturday,7:25,,28/10/18,24/03/19
473,GoAir,Patna,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:35,23:45,28/10/18,30/03/19
809,GoAir,Bengaluru,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:10,12:45,28/10/18,30/03/19
812,GoAir,Bengaluru,Nagpur,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:10,23:55,28/10/18,30/03/19
812,GoAir,Bengaluru,Nagpur,Monday,23:00,0:45,30/10/18,26/03/19
283,GoAir,Pune,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",7:40,8:55,28/10/18,30/03/19
831,GoAir,Goa,Nagpur,Friday,4:40,,03/11/18,30/03/19
835,GoAir,Goa,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",23:20,,28/10/18,30/03/19
195,GoAir,Kolkata,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",23:40,,28/10/18,30/03/19
157,GoAir,Delhi,Bagdogra,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:15,13:10,28/10/18,30/03/19
155,GoAir,Delhi,Bagdogra,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:30,15:30,28/10/18,30/03/19
151,GoAir,Guwahati,Bagdogra,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:30,16:35,28/10/18,30/03/19
981,GoAir,Chennai,Bagdogra,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",9:50,12:40,28/10/18,30/03/19
541,GoAir,Kolkata,Bagdogra,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:55,14:10,28/10/18,30/03/19
558,GoAir,Hyderabad,Lucknow,"Sunday,Tuesday,Wednesday,Thursday,Friday",13:15,,29/10/18,30/03/19
558,GoAir,Hyderabad,Lucknow,Saturday,13:15,,28/10/18,24/03/19
207,GoAir,Delhi,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",5:00,6:10,28/10/18,30/11/18
207,GoAir,Delhi,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",5:00,6:10,01/02/19,29/03/19
211,GoAir,Delhi,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",9:00,10:15,28/10/18,30/03/19
214,GoAir,Delhi,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:50,18:00,28/10/18,30/03/19
463,GoAir,Mumbai,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",4:55,7:20,01/03/19,30/03/19
395,GoAir,Mumbai,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:35,12:55,28/10/18,30/11/18
395,GoAir,Mumbai,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:35,12:55,01/12/18,31/01/19
395,GoAir,Mumbai,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:35,12:55,01/02/19,30/03/19
497,GoAir,Mumbai,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:10,17:25,28/10/18,30/03/19
731,GoAir,Ahmedabad,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",12:50,,29/10/18,30/03/19
669,GoAir,Ahmedabad,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",12:45,,01/04/19,26/10/19
805,GoAir,Bengaluru,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",8:20,10:45,28/10/18,30/03/19
808,GoAir,Bengaluru,Lucknow,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:00,18:30,28/10/18,30/03/19
808,GoAir,Bengaluru,Lucknow,Monday,16:40,19:05,30/10/18,26/03/19
805,GoAir,Bengaluru,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",8:20,10:35,31/03/19,26/10/19
581,GoAir,Hyderabad,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",6:50,8:55,28/10/18,30/03/19
701,GoAir,Hyderabad,Kochi,Saturday,11:45,13:20,28/10/18,24/03/19
591,GoAir,Hyderabad,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:25,21:15,28/10/18,30/03/19
347,GoAir,Mumbai,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:45,12:50,28/10/18,30/11/18
347,GoAir,Mumbai,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:45,,01/12/18,31/01/19
347,GoAir,Mumbai,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:45,,01/02/19,30/03/19
336,GoAir,Mumbai,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:15,19:20,28/10/18,30/03/19
701,GoAir,Ahmedabad,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",10:50,13:20,29/10/18,30/03/19
729,GoAir,Ahmedabad,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:30,20:30,28/10/18,30/03/19
701,GoAir,Ahmedabad,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",10:50,,01/04/19,26/10/19
411,GoAir,Bengaluru,Kochi,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:50,13:50,28/10/18,30/03/19
594,GoAir,Pune,Kochi,Saturday,0:50,,28/10/18,28/10/18
594,GoAir,Pune,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",0:50,,29/10/18,30/03/19
592,GoAir,Goa,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:20,23:55,28/10/18,30/03/19
943,GoAir,Kolkata,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:50,13:35,28/10/18,30/03/19
530,GoAir,Delhi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",7:00,9:15,28/10/18,30/03/19
334,GoAir,Delhi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",8:00,,28/10/18,30/03/19
448,GoAir,Delhi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:25,,28/10/18,30/03/19
336,GoAir,Delhi,Mumbai,Friday,14:10,,03/11/18,30/03/19
336,GoAir,Delhi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",14:10,,28/10/18,29/03/19
640,GoAir,Delhi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",18:05,20:25,28/10/18,30/03/19
446,GoAir,Delhi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:40,,28/10/18,30/03/19
428,GoAir,Delhi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",21:35,,28/10/18,30/03/19
544,GoAir,Delhi,Mumbai,"Monday,Thursday,Saturday",22:40,,28/10/18,30/11/18
544,GoAir,Delhi,Mumbai,"Monday,Thursday,Saturday",22:40,,02/12/18,29/01/19
544,GoAir,Delhi,Mumbai,"Monday,Thursday,Saturday",22:40,,01/02/19,29/03/19
544,GoAir,Delhi,Mumbai,"Sunday,Friday",22:40,1:00,29/10/18,30/03/19
247,GoAir,Bhubaneswar,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:55,22:35,28/10/18,30/03/19
141,GoAir,Nagpur,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",9:25,10:50,28/10/18,30/03/19
464,GoAir,Lucknow,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",7:55,10:20,01/03/19,30/03/19
404,GoAir,Lucknow,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:25,15:45,28/10/18,30/11/18
404,GoAir,Lucknow,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:25,15:45,01/12/18,31/01/19
404,GoAir,Lucknow,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:25,15:45,01/02/19,30/03/19
396,GoAir,Lucknow,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",18:00,20:20,28/10/18,30/03/19
468,GoAir,Kochi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:20,15:30,28/10/18,30/11/18
468,GoAir,Kochi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:20,,01/12/18,30/03/19
345,GoAir,Kochi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:50,22:00,28/10/18,30/03/19
586,GoAir,Patna,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",14:15,17:00,28/10/18,30/03/19
465,GoAir,Port Blair,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",7:55,11:35,28/10/18,28/02/19
364,GoAir,Ahmedabad,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",0:35,,28/10/18,30/03/19
459,GoAir,Ahmedabad,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",9:25,10:40,28/10/18,30/03/19
368,GoAir,Ahmedabad,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:05,21:25,28/10/18,30/03/19
413,GoAir,Ahmedabad,Mumbai,Saturday,0:35,2:00,31/03/19,31/03/19
413,GoAir,Ahmedabad,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",0:35,,01/04/19,26/10/19
459,GoAir,Ahmedabad,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",9:25,,31/03/19,26/10/19
537,GoAir,Ahmedabad,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:55,21:25,31/03/19,26/10/19
388,GoAir,Jaipur,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",8:15,10:05,28/10/18,30/11/18
388,GoAir,Jaipur,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",8:15,10:05,01/12/18,31/01/19
388,GoAir,Jaipur,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",8:15,10:05,01/02/19,30/03/19
492,GoAir,Jaipur,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:55,,28/10/18,30/03/19
418,GoAir,Bengaluru,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",5:45,,29/10/18,30/03/19
395,GoAir,Bengaluru,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",8:10,,28/10/18,30/03/19
520,GoAir,Bengaluru,Mumbai,Monday,16:40,,30/10/18,26/03/19
520,GoAir,Bengaluru,Mumbai,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:40,18:30,28/10/18,30/03/19
426,GoAir,Bengaluru,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:05,0:05,28/10/18,30/03/19
